In;Out;Duration;ID;Text;Phase;Subphase;Context;Chain;Origin;From;To
0.00.23;0.00.23;0.00.00;1;ニーズ選ぶのまた難しそうですね;plan;d;O;1;1;R;all
0.00.23;0.00.36;0.00.13;2;先生が昨日おっしゃってた何か新規性有効性実行可能性 みたいな ところ の 観点 から 何か 選んでみます それぞれというかまず 。;plan;c;O;2;1;R;all
0.00.38;0.01.00;0.00.22;3;そうです何か それ を 何か 選ぶ 優先順位 みたい に なのっ て つけときます 例えば その 今 3 つ 挙げた 中で どれ を 全部 一緒 に 含め た 観点 で 選ん で も いいとは思うんですけど 例えば どれを 優先 する と 例えば 実現可能性 を 一番 優先 し て 並べていくとか もしくは 新規性 を 最優先 に するとか そういうのって 決めておきます;plan;c;GO;3;2;T;R
0.01.02;0.01.02;0.00.00;4;バランスが;plan;c;O;4;3;R;T
0.01.02;0.01.03;0.00.01;5;決めた方が 多分 良い と 思います;plan;c;G;5;4;A;T
0.01.05;0.01.08;0.00.03;6;ああ でも 全体 的 な バランス じゃ ない です か どう な ん だろ う;plan;c;Q;6;5;R;all
0.01.09;0.01.23;0.00.14;7;何 か あと で アイデア 次第 で 補える もの は どうにか なる か な って 感じ な ん です けど何 か。 優先 順位 だけ でも 軽く 決め て;plan;c;O;7;6;A;R
0.01.24;0.01.43;0.00.18;8;堀井先生 今 昨日 おっしゃっ て た ニーズ の 重要性 の ３つ の 新規性 という 構成 と 実 実行可能性 の それぞれ を 観点 に 選ぼ う と し てる ん です けど この ３つ の 中 で 優先順位 を つけて 選ぶ方法 って どう 思われ ます か;plan;c;RQ;8;8;R;I
0.01.43;0.01.59;0.00.16;9;えーっと です ね あんまり そこ は あんまり きっちり やる 必要 が ない です よ。 何 か いい か な と 思っ たら もう コピーする それ で 多め に なっ て も 構わ ない ので 悩ん だら コピー する とか どう でしょ う か 言い まし た。.;plan;i;OP;9;8;I;R
0.01.59;0.01.59;0.00.00;10;分かりました。.;plan;a;G;10;9;R;I
0.02.00;0.02.00;0.00.00;11;ありがとうございます;plan;a;T;11;10;T;I
0.02.00;0.02.00;0.00.00;12;はい。;plan;a;V;12;11;I;
0.02.25;0.02.31;0.00.06;13;あれ ごめんなさい。 これ って 未来 の シナリオ って 全部 に対して それぞれ 選ん で いく ん でしたっけ。;plan;d;Q;1;13;H;all
0.02.36;0.02.40;0.00.04;14;未来 の シナリオ を 全部 に対して もう少し 詳しく いい です か すいません;plan;d;Q;2;14;R;H
0.02.40;0.03.05;0.00.26;15;すみません あの説明 で その それぞれ に 何 か シナリオ と 緑 の 部分 と 黄色 の 部分 を つなげ てって その 次 の 3 に移す って こと でし た けど それ って 何 か それぞれ 他 の スーパー シニア アクティブ アクティブシニアだったりとか 他 の も ある と 思う ん です けど この 八つ 分 それぞれ 選ん で って 移す ん でし たっけ。 それとも もっと 絞っ て やるんでしたっけ;plan;d;Q;3;14;H;R
0.03.07;0.03.13;0.00.06;16;もう 絞っ ちゃっ て も いい 気 が し ます 良い ニーズ は どんどん やっ ちゃっ て も いい ん じゃ ない です か コピー;plan;c;O;4;15;R;H
0.03.14;0.03.15;0.00.01;17;わかりまし た ありがとうございます;plan;c;VT;5;16;H;R
0.03.15;0.03.16;0.00.00;18;はい。;plan;c;V;6;17;R;H
0.05.25;0.05.35;0.00.10;19;堀向 さん ちなみに 堀向 さん の 目から 見 て 新規性 とか 有効性 とか 実行可能性 が あり そう だ な と 思っ た ニーズ とか あり まし た;discussion;d;Q;7;19;R;Y
0.05.36;0.05.36;0.00.00;20;ニーズね。;discussion;d;E;8;19;Y;R
0.05.45;0.06.48;0.01.02;21;なので は 移住者同士 の つながり とか あとなんだろうね そう やっぱり よそ者 として とか こういう 不安要素 みたい な もの が 結構 上がっ て き てる の か な っていう ところ だ と 思う ので そういった ところ の 解消 っていう の は ニーズ に なっ て いく の か な と 思い ます と これ は この 地区 の 役員 は 結構 負担 とか 言っ て 私 が 書い て あっ て どういう 実際 に やっ て みる と ああ これ 大変 だ な って みたい な の も あっ たり する ので そういった ところ も やっぱり 不安 要素 に なっ て くる な その 解消 っていう の は 要素 に なっ て くる か な と 思い ます 全体 的 だ から 不安 要素 が いっぱい 書か れ て いる ニーズ の とこ に 書か れ てる ので それ を どう 解決 し て いく か みたい な ところ が 視点 に なっ て くる か な と 思う よう な 気 が し ます ね;discussion;d;O;9;19;Y;R
0.06.49;0.06.50;0.00.01;22;ありがとう ござい ます。;discussion;d;T;10;21;R;Y
0.17.06;0.17.09;0.00.02;23;あ あと 二 十 分 ぐらい です けど どうします;plan;c;Q;1;23;H;all
0.17.11;0.17.17;0.00.06;24;そうですね そろそろ もう コピー し て 別 の シート に も 貼っ て ます？ 繋げたぐらい;plan;c;Q;2;23;R;H
0.17.21;0.17.21;0.00.01;25;一枚 張り まし た;plan;c;A;3;24;H;R
0.17.23;0.17.24;0.00.01;26;ありがとう ござい ます。.;plan;c;V;4;25;R;H
0.17.26;0.17.29;0.00.03;27;皆さん は 今 どんな 感じ です か 小松 さん とか 所 さん;plan;c;Q;5;27;R;A
0.17.29;0.17.34;0.00.05;28;とか 今 は 8 割 ぐらい 張れてます 別のノートに 本当に;plan;c;A;7;27;A;R
0.17.36;0.17.39;0.00.03;29;僕も大丈夫 です。 あの A3の方ですよね あの リソース 分析の所に;plan;c;A;8;27;T;R
0.17.42;0.17.46;0.00.04;30;じゃあ所 さん 終わっ たら 教え て ください;plan;c;I;9;29;R;A
0.17.47;0.17.49;0.00.02;31;あ 終わり まし た すいません.;plan;c;R;10;30;A;R
