In;Out;Duration;ID;Text;Phase;Subphase;Context;Chain;Origin;From;To
0.00.00;0.00.05;0.00.05;1;詳細。 長嶋 うん;plan;d;R;1;1;A;all
0.00.07;0.00.07;0.00.00;2;なんか だいたい 20 分 ずつ くらい で切る イメージ で 大丈夫そう ですか ね そし たら 黄色 やつやるの が 20 分 で 青い やつやるの が 20 分 で 強み みたい な の が 20 分 みたい な 感じ です か ね;plan;d;P;2;2;N;all
0.00.23;0.00.23;0.00.00;3;ノート キレイ に まとめ とい て いただい て ありがとう ござい ます。;plan;d;T;1;3;A;all
0.00.28;0.00.31;0.00.03;4;ありがとう ござい ます どなた か わから ない ん です。;plan;d;T;2;3;N;all
0.00.31;0.00.33;0.00.02;5;結局 ありがとう ござい ます;plan;d;T;3;4;T;all
0.00.37;0.00.56;0.00.19;6;めっちゃ 助かり ます ちょっと じゃあ 最初 に 昨日 軽く 何 か アレですもん ね だいたい こんな の が ある よ って 話 が し た と 思う んで それの 引き続きで なんか 有望 な やつ を 探し て 繋げ て いく っていう 作業 で 最初 は いい です か ね そしたら。;plan;d;TP;4;5;N;all
0.00.59;0.01.00;0.00.00;7;はい。;plan;d;A;5;6;M;N
0.01.03;0.01.06;0.00.03;8;画面の 共有 を 自分 今 なん か 凄い 重く て でき なく て どなたかお願いしたいです;plan;d;R;1;8;N;all
0.01.09;0.01.13;0.00.04;9;あ し ます よ し ます が 今 開い てる ところです;plan;d;A;2;8;T;N
0.01.22;0.01.22;0.00.00;10;ありがとうございます;plan;d;T;3;9;N;T
0.01.37;0.01.37;0.00.00;11;あ ほんとだ きれいになってる;plan;d;E;4;9;T;all
0.01.37;0.01.37;0.00.00;12;ありがとうございます;plan;d;T;5;9;N;T
0.01.51;0.02.44;0.00.54;13;じゃあまあそうし たら 上 から 順々 に 見ていって えっとじゃあ40 分 くらい まで です か ね 17分何で今 それ で 選定 し て あのあそこの さん の ところ に 付け加える って 作業も同時に やっ て いく 感じですかね。 そうですね じゃあ 上 から 順々 に 結構 これ 何 か 軸 として は 昨日あれ です ね堀井堀井さん が おっしゃっ て た よう な 有効性と と 新規性 と 実現可能性 か この ３つ の 軸 で これ が いい ん じゃ ない か みたいなので話しあって いく 感じでいいです か ね 前提 と いう か 認識 の 共通 の ところ として は;plan;c;O;1;13;N;all
0.02.49;0.03.08;0.00.19;14;ちょっとよろしいですか 結構 たくさん 黄色 が 上がっ てる と 思う ん です けども は あんまり 厳格 に 選ぶ 必要 は ない ので いい か な と 思っ た コピー し ちゃう っていう感じで あんまり ここ で 時間 を 使う と 今度 は 青 だ に 時間 が なくなっ ちゃう ので。 あの アバウト で 行きましょうアバウトで;plan;i;O;1;14;I;
0.03.09;0.03.15;0.00.06;15;はい分かりました 。じゃあ勘でいきましょう。;plan;a;V;2;14;N;all
0.03.18;0.03.19;0.00.01;16;直感 直感 で 行く か;plan;a;O;3;15;T;N
