In;Out;Duration;ID;Text;Phase;Subphase;Context;Chain;Origin;From;To
0.00.01;0.00.26;0.00.24;1;以下。 チップス。;plan;d;O;1;1;;
0.00.37;0.00.56;0.00.18;2;何 か ちょっと 確認 し たい ん です けど 昨日 の やっ た この ニーズを その 今日 の やつ に 持っ て いく っていう こと で その 持っ て いく ニーズ を 選ん だ 方 が いい ってこと です か 全部 持っ て く わけ じゃ ない ん です よ ね;plan;d;Q;2;2;H;all
0.00.56;0.01.07;0.00.11;3;たぶん 選ん で なんか 昨日 言っ て た 唯行なニーズを みんな で 選ら んで それ を 張り付け る の かなっ て も 思います。;plan;d;A;3;2;M;H
0.01.09;0.01.12;0.00.02;4;まず 選ん で から の 方 が いい です そう ね。;plan;d;O;4;3;H;all
0.01.30;0.01.38;0.00.07;5;何 か 新規 性 と。 新規 性 が 欲しい って 言っ た けど;plan;d;O;5;5;H;all
0.01.38;0.01.38;0.00.00;6;新規性 実行可能性.;plan;d;O;6;5;K;H
0.01.44;0.01.44;0.00.00;7;ありましたね;plan;d;G;7;6;M;K
0.01.44;0.01.48;0.00.03;8;実現可能 性 みたい なこと 言っ て ましたね;plan;d;R;8;7;T;K
0.01.48;0.01.54;0.00.05;9;ちょっと見ていき ます か 昨日の 何 か ここ って やつ ない ん です か ね。;plan;d;Q;9;8;H;all
0.01.59;0.02.00;0.00.01;10;あり まし た;plan;d;A;10;9;T;H
0.02.01;0.02.02;0.00.01;11;あり まし た。;plan;d;A;11;9;H;T
0.02.08;0.02.17;0.00.10;12;やっぱり 一 回 ここ で ちょっと 5 分 ぐらい 考え て。 言うみたいなのとかどう です か;plan;c;P;12;12;K;all
0.02.19;0.02.19;0.00.00;13;そうします そうしましょう;plan;c;G;13;12;H;K
0.02.24;0.02.28;0.00.03;14;じゃあ23分 くらい まで;plan;c;O;14;13;K;all
0.04.15;0.04.37;0.00.23;15;ちょっと よろしい です か 今 黄色 を 選ん で いる の か と 思い ます けど あんまり ここ は 厳密 に やる 必要 は ない ので いい か な と 思っ たら コピー する みたいな感じで アバウトに 行き ましょ う。 青 を 出す の が 主 目的 な ので 時間 が もったいない ので あんまり ここ を 厳格 に やら ない で よ.;plan;i;I;1;15;I;
0.04.39;0.04.43;0.00.04;16;わかり まし た。ちょっと良いなと思ったら .;plan;a;V;2;15;H;I
0.04.43;0.04.44;0.00.01;17;そんな 感じ です ね。.;plan;a;V;3;16;I;
0.04.45;0.04.51;0.00.06;18;分かりました　これ って 灰色 の コロナ の やつ と つなげ て.;plan;a;V;4;17;H;I
0.04.51;0.04.52;0.00.00;19;つながってなく て も いいですよ.;plan;a;O;5;18;I;
0.04.52;0.04.52;0.00.00;20;分りました。ありがとうございます。;plan;a;VT;6;19;H;I
0.05.00;0.05.07;0.00.07;21;そしたら もう 個々 で を コピペ する やっ ちゃ い ます.;plan;a;O;7;20;K;all
0.05.08;0.05.09;0.00.01;22;そうですね.;plan;a;G;8;21;H;K
0.05.09;0.05.09;0.00.00;23;それかでも被っちゃうかな;plan;a;Q;9;22;K;H
0.05.14;0.05.17;0.00.03;24;いいんじゃなですか 被ったら 消し ちゃえ ば.;plan;a;A;10;23;H;K
0.05.17;0.05.17;0.00.00;25;ああ 了解です;plan;a;V;11;24;K;H
0.09.55;0.09.56;0.00.01;26;どうです か。 だいたい。;plan;a;Q;1;26;H;all
0.10.01;0.10.04;0.00.03;27;いったん 終わり まし た;plan;a;A;2;26;H;K
0.10.06;0.10.13;0.00.07;28;じゃあ これ で ちょっと 整理 し て。 こっち。;plan;a;I;3;27;H;all
0.11.48;0.12.05;0.00.17;29;そしたら。 次 は 青色 を 埋め て いき たい。 です よ ね これ って。 あの別 に 何 か 関係 性 が なく て も。こうだと思ったら ダダダって 書いいって て て いい ん です よ ね。.;plan;a;Q;4;28;H;all
0.12.06;0.12.06;0.00.00;30;それでよいと思います;plan;a;A;5;29;M;H
0.12.09;0.12.31;0.00.22;31;Serendipity っていう ん だ けど さ ァ 関係 ない と 思っ て た の は 後で アイデア発想する 時 に つながっ たり する と すごく 新規 性 の ある こんな 使い方 が できる ん だ みたい な こと も ある ので とにかく 何 か 使え そう な 素敵 な リソース は みんな 挙げ て いく みたい な 感じ で いい と 思う ん です よ はい そう だ よ ね。.;plan;a;O;6;31;I;
0.12.31;0.12.40;0.00.08;32;昨日 の 上山 さん が 言っ た ウナギ 何か結構 何 か 調べ たら 結構 うなぎ 屋 さん ある ん ですね。.;plan;a;O;7;31;H;all
0.12.40;0.12.40;0.00.00;33;お蕎麦 も有名ですよね;plan;a;O;8;32;M;H
0.12.47;0.12.47;0.00.01;34;何 です か.;plan;a;Q;9;33;H;M
0.12.48;0.12.48;0.00.00;35;何 か お蕎麦.;plan;a;A;10;34;M;H
0.12.49;0.12.54;0.00.05;36;あー そうですねなんか 水 が きれい な とこ って みんな お蕎麦ですよねそういうイメージある;plan;a;O;11;35;H;M
0.13.01;0.13.02;0.00.01;37;そういえば そうですね.;plan;a;G;12;36;M;H
0.13.05;0.13.06;0.00.00;38;うなぎうなぎって間違えました;plan;a;O;13;37;H;
0.13.32;0.13.39;0.00.07;39;これ って 藤澤 さん も あの 青い シート を 埋め て 下さったりしますか;plan;a;Q;1;39;K;S
0.13.46;0.14.08;0.00.22;40;あの もし なにか 思いつけ ば いき ます。 ただ はい。 今 ちょっと その 堀井 先生 の 話 を 聞い て 新規 性 っていう 話 で いく と ここ に ある の が 当たり前 っていう 感覚 が やっぱ 自分 に は ある ので どれ が 新しい の か って いう の は わから ない ん です が ちょっと まっ し そんな 観点 で よけれ ば ちょっと 見 て いき たい と 思い ます。.;plan;a;A;2;39;S;K
0.14.08;0.14.08;0.00.00;41;はい ありがとうございます。;plan;a;T;3;40;K;S
0.14.37;0.14.48;0.00.12;42;え 何 か 茅野 市 の ふるさと 納税 を 見 た とき に 1 位 が 浄水器 だっ た ん です けど それ って 山 が ある から とか そういう こと です か。;discussion;d;Q;1;42;H;S
0.14.51;0.15.37;0.00.46;43;たぶん それ が ある の か ただ の 一応 こちらも 諏訪 と 並ん で 精密 っていう の を 推してる 部分 が あり まし て 精密 の 企業 さん から ご 提供 いただい た もの が たまたま それ だっ た っていう よう な こと だ と 思い ます。 もう あくまでも この ふるさと 納税 に 上がっ てる し に なっ てる 茅野 市 の 企業 が 作っ て いる もの で あれ ば 何 でも よく て 地域 独自 の もの で は なく て も いい ので その 企業 さん が 出し 出す こと が 可能 な 商品。 ただ 扱っ てる 商品 が そこ に 上がっ て いる って いう の は 感じ が ふるさと 納税 の 返礼 品 に 含ま れ て いる 感じ です。;discussion;d;A;2;42;S;H
0.18.01;0.18.06;0.00.04;44;ファミリー ランド って 言っ た こと あり ます か 上山 さん。;discussion;d;Q;3;44;H;S
0.18.29;0.18.32;0.00.03;45;ファミリー ランド で 何 か 興味 ある こと は あり ます か;discussion;d;Q;4;44;S;H
0.18.33;0.18.41;0.00.08;46;ファミリーランド って 結構 アレ な ん です か。 県 外 の 方 も 来られる 感じ な ん です か 県内 中心 みたい な;discussion;d;Q;5;45;H;S
0.18.42;0.19.11;0.00.29;47;今 は 現状 だ と やっぱ コロナ の 状態 な ので 県内 中心 か な と 思い ます ただ あ の 全天候 型 の って こと で 歌っ て いる ので ファミリー 向け の どの 世代 に も 楽しめる という こと で 遊園 地 あり 湖 湖 が あっ たり みんな で 食事 する ところ が あっ たり 温泉 が あっ たり と いろんな 人 が 楽しめる 施設 に は なっ て ます;discussion;d;A;6;46;S;H
0.19.15;0.19.17;0.00.02;48;結構広い ん です か あ;discussion;d;Q;7;47;H;S
0.19.17;0.19.34;0.00.17;49;かなり 広い です 白樺湖 っていう 湖 の 周り の 約 半分 ぐらい を その 企業 さん が 占め 買い占め て って わけ の ない ん です けど あのー 敷地 を 使っ て 事業 を 展開 し てる っていう よう な 感じ です。;discussion;d;A;8;48;S;H
0.19.41;0.19.43;0.00.02;50;藤澤さんは いか れる ん です か;discussion;d;Q;9;49;H;S
0.19.46;0.19.48;0.00.02;51;あまり 行か ない です ね。;discussion;d;A;10;50;S;H
0.19.48;0.19.49;0.00.01;52;あ そう な ん です か 笑。;discussion;d;E;11;51;H;S
