In;Out;Duration;ID;Text;Phase;Subphase;Context;Chain;Origin;From;To
0.00.01;0.00.41;0.00.40;1;zoom に 並ん でる 順 で 上 から やっ ちゃうね そしたら チョウさん が 一番 上 の と 増加 し てる 移住者  次  私 の zoom上だと 二 人 目 が 伊藤君 に なっ てる ので 認知 症 が 伊藤君 これ でも 1 個 ずつ しか ない から 簡単 か な と 3つ目がうわー これ 難し そう  ごめんなさい 高坂さん 画一的な な 製品 サービス から 価値の多様化への時代 お願い し ます でえーとしすたら 私 は 四つ 目。 あらゆる モノ 情報 が 読み込ま れる 社会 で たぶん と 伊藤 くん の がえっと 簡単 だ から 最後もう一つ 総共働き 社会 を 任せ て も いい です か  良かっ た。;plan;i;OI;1;1;B;all
0.02.17;0.02.20;0.00.04;2;青は 結びピ つける 必要 が ある ん です か;plan;a;Q;2;1;Z;B
0.02.22;0.02.25;0.00.04;3;私 を 結びつけ てる けど これ でも 後で 消せる から;plan;a;A;3;2;B;Z
0.02.26;0.02.55;0.00.29;4;わかり まし た。 。;plan;a;V;4;3;Z;B
0.04.30;0.05.00;0.00.30;5;いい です か  今 黄色 を 選ぶ って 作業 し てる の か と 思う ん です けど。  ここ あんまり 厳格 に やる 必要 は ない ので いい か な と 思っ たら コピー する みたい な 感じ です  ここ に 時間 を 使う と 青 を 上げる 時間 が なくなっ ちゃう んで アバウト でも アバウト で はい はい 目指し ます。 深。;plan;i;I;1;5;I;
0.05.30;0.05.30;0.00.00;6;どう でしょ う。;plan;a;Q;2;5;N;all
0.05.34;0.05.35;0.00.01;7;終わり まし た ね;plan;a;A;3;6;Z;N
0.05.35;0.05.35;0.00.00;8;終わった終わりました;plan;a;A;4;6;N;all
0.05.36;0.05.55;0.00.18;9;そしたらじゃあ この 黄色 の 部分 を 全部 3 番目 の 評価 マトリックス じゃ ない 予想図分析に移す 作業 に 入ろ う  先程 自分 が 担当 し た ところ の 黄色 の 次 の 3 番目 に 移して 行っ て ください;plan;i;I;5;8;B;all
0.05.56;0.06.00;0.00.04;10;全部 移すんですか それとも まず 何 個 か 選ん で;plan;a;Q;6;9;Z;B
0.06.00;0.06.10;0.00.10;11;いく の か 元々 選ぶ 数 自体 が 少ない から 全部 移しちゃっ て も いい と 思う ん だ ね こっから 選ぼ う って なっ たら また 時間 が かかっ ちゃう じゃ ない です か。;plan;a;OP;7;10;B;Z
